"country","iso2c","date","bid_ask_local_spread_bloomberg","bid_ask_usd_spread_bloomberg","bond_spread_local_US_10yr_bloomberg","bond_spread_usd_US_10yr_bloomberg","bond_spread_local_DE_10yr_bloomberg","bond_spread_usd_DE_10yr_bloomberg","bond_spread_local_JP_10yr_bloomberg","bond_spread_usd_JP_10yr_bloomberg","bond_spread_local_UK_10yr_bloomberg","bond_spread_usd_UK_10yr_bloomberg"
"China","CN","2013-07-05",0.097,,72.5333,,174.7346,,260.7351,,98.171,
"China","CN","2013-07-12",0.111,,93.4589,,195.9086,,269.6595,,119.0372,
"China","CN","2013-07-19",0.089,,113.872,,210.5392,,281.0538,,134.0311,
"China","CN","2013-07-26",0.081,,111.2269,,201.1108,,288.9538,,134.3546,
"China","CN","2013-08-02",0.0939999999999999,,107.3982,,202.0845,,284.992,,124.6608,
"China","CN","2013-08-09",0.0660000000000003,,122.2748,,212.2844,,304.5974,,134.3158,
"China","CN","2013-08-16",0.0910000000000002,,108.1287,,202.69,,315.1224,,120.4212,
"China","CN","2013-08-23",0.0509999999999997,,116.1839,,204.3384,,320.4258,,127.0782,
"China","CN","2013-08-30",0.0839999999999996,,118.9558,,212.0187,,325.6227,,120.4452,
"China","CN","2013-09-06",0.101,,107.3396,,205.9569,,322.5478,,107.2244,
"China","CN","2013-09-13",0.0800000000000001,,120.9942,,212.0716,,336.8423,,118.3304,
"China","CN","2013-09-20",0.0739999999999998,,131.78,,211.0767,,335.8362,,113.1902,
"China","CN","2013-09-27",0.0470000000000002,,134.5532,,219.4239,,328.9819,,126.2346,
"China","CN","2013-10-04",0.0489999999999995,,133.4964,,214.0718,,332.9502,,124.1623,
"China","CN","2013-10-11",0.0379999999999994,,131.6901,,214.1983,,334.8839,,126.9289,
"China","CN","2013-10-18",0.0519999999999996,,149.3577,,224.1817,,345.3077,,135.8293,
"China","CN","2013-10-25",0.0430000000000001,,166.1052,,241.6273,,355.469,,155.7345,
"China","CN","2013-11-01",0.0309999999999997,,153.1171,,246.3375,,355.5821,,150.7933,
"China","CN","2013-11-08",0.0520000000000005,,152.8543,,252.0779,,368.4062,,151.1188,
"China","CN","2013-11-15",0.0649999999999995,,180.5403,,280.4719,,387.6509,,176.5547,
"China","CN","2013-11-22",0.0550000000000006,,185.0562,,284.8747,,396.71,,180.4112,
"China","CN","2013-11-29",0.0659999999999998,,161.5339,,266.8588,,375.6638,,159.2641,
"China","CN","2013-12-06",0.0880000000000001,,163.2937,,264.8083,,382.1056,,158.8178,
"China","CN","2013-12-13",0.0800000000000001,,165.5939,,269.4249,,382.637,,162.546,
"China","CN","2013-12-20",0.0709999999999997,,167.9897,,270.0152,,388.9378,,162.6785,
"China","CN","2013-12-27",0.0829999999999993,,153.957,,258.5685,,383.5426,,146.7304,
"China","CN","2014-01-03",0.077,,160.892,,266.292,,386.552,,158.2162,
"China","CN","2014-01-10",0.0899999999999999,,169.9159,,271.6157,,385.6922,,168.6298,
"China","CN","2014-01-17",0.0789999999999997,,173.7828,,280.5761,,388.5078,,172.8386,
"China","CN","2014-01-24",0.0819999999999999,,178.3834,,284.2515,,386.8684,,172.842,
"China","CN","2014-01-31",0.0789999999999997,,181.4961,,280.1358,,383.8736,,175.4078,
"China","CN","2014-02-07",0.0460000000000003,,177.4033,,279.7417,,383.8783,,174.6392,
"China","CN","2014-02-14",0.0499999999999998,,170.417,,276.958,,384.9757,,165.511,
"China","CN","2014-02-21",0.0509999999999993,,176.0434,,283.1193,,388.9284,,171.2185,
"China","CN","2014-02-28",0.069,,171.2254,,273.7343,,377.5604,,164.2256,
"China","CN","2014-03-07",0.0570000000000004,,166.4412,,280.1165,,382.6137,,165.9924,
"China","CN","2014-03-14",0.056,,174.9607,,285.9792,,377.8732,,174.1278,
"China","CN","2014-03-21",0.0540000000000003,,169.9675,,281.2865,,384.3056,,169.7546,
"China","CN","2014-03-28",0.0600000000000005,,172.675,,290.0893,,382.3331,,172.5472,
"China","CN","2014-04-04",0.069,,175.081,,292.0355,,382.5323,,178.7581,
"China","CN","2014-04-11",0.117,,182.1897,,294.4883,,384.3435,,183.7083,
"China","CN","2014-04-18",0.128,,171.0093,,291.8366,,383.2387,,176.5794,
"China","CN","2014-04-25",0.048,,166.0896,,284.1452,,370.2015,,168.647,
"China","CN","2014-05-02",0.0670000000000002,,172.1739,,285.8537,,369.6852,,166.5415,
"China","CN","2014-05-09",0.0880000000000001,,157.562,,274.5392,,359.2689,,151.6019,
"China","CN","2014-05-16",0.0579999999999998,,164.1533,,283.6406,,358.2427,,160.2504,
"China","CN","2014-05-23",0.077,,160.9789,,273.0303,,355.1627,,150.8378,
"China","CN","2014-05-30",0.0800000000000001,,159.6886,,271.6846,,349.6543,,150.4516,
"China","CN","2014-06-06",0.109,,144.4979,,268.0564,,343.3686,,137.9002,
"China","CN","2014-06-13",0.119000000000001,,143.3846,,267.6395,,343.5934,,129.3562,
"China","CN","2014-06-20",0.14,,137.8148,,264.181,,339.8205,,122.4977,
"China","CN","2014-06-27",0.14,,144.4666,,271.8008,,341.6466,,134.0466,
"China","CN","2014-07-11",0.0659999999999998,,157.486,,289.0034,,355.5692,,149.2083,
"China","CN","2014-07-18",0.111000000000001,,170.5526,,303.3571,,364.2188,,161.7675,
"China","CN","2014-07-25",0.0859999999999994,,179.6339,,311.712,,372.7639,,169.376,
"China","CN","2014-08-01",0.105,,170.1591,,306.501,,365.6941,,164.8073,
"China","CN","2014-08-08",0.191000000000001,,177.0624,,313.9563,,368.7705,,173.2617,
"China","CN","2014-08-15",0.111,,183.9671,,322.8085,,367.8164,,185.4905,
"China","CN","2014-08-22",0.0649999999999995,,179.5579,,321.766,,368.9766,,179.5029,
"China","CN","2014-08-29",0.0499999999999998,,186.2157,,331.6894,,371.1007,,183.8582,
"China","CN","2014-09-05",0.0499999999999998,,176.9598,,330.1642,,368.7061,,176.7116,
"China","CN","2014-09-12",0.0429999999999993,,163.3795,,316.3804,,366.812,,171.7372,
"China","CN","2014-09-19",0.11,,149.7824,,303.1415,,351.0137,,153.053,
"China","CN","2014-09-26",0.0300000000000002,,146.3053,,302.0832,,346.949,,152.4352,
"China","CN","2014-10-03",0.0350000000000001,,152.431,,303.4813,,344.2085,,157.1026,
"China","CN","2014-10-10",0.0469999999999997,,168.8999,,308.37,,346.6148,,175.4317,
"China","CN","2014-10-17",0.056,,159.4738,,293.1443,,331.4051,,160.0588,
"China","CN","2014-10-24",0.0470000000000002,,143.9564,,281.8033,,323.9839,,147.9382,
"China","CN","2014-10-31",0.0739999999999998,,139.5405,,289.1937,,327.4492,,148.5185,
"China","CN","2014-11-07",0.0790000000000002,,136.6573,,284.9049,,318.2954,,146.3923,
"China","CN","2014-11-14",0.056,,125.7577,,279.4481,,309.6764,,146.3761,
"China","CN","2014-11-21",0.0589999999999997,,131.0948,,285.3105,,316.0617,,157.4728,
"China","CN","2014-11-28",0.0590000000000002,,133.4354,,279.9771,,307.9148,,157.3978,
"China","CN","2014-12-05",0.073,,136.7826,,289.578,,325.5114,,165.7549,
"China","CN","2014-12-12",0.0499999999999998,,164.9355,,310.886,,333.6818,,193.2787,
"China","CN","2014-12-19",0.0569999999999999,,158.7773,,315.9019,,339.5316,,190.166,
"China","CN","2014-12-26",0.0720000000000001,,133.8399,,300.0618,,326.0043,,170.8835,
"China","CN","2015-01-02",0.077,,148.0925,,309.5577,,326.4206,,187.5654,
"China","CN","2015-01-09",0.097,,163.6969,,309.1664,,330.4644,,198.3813,
"China","CN","2015-01-16",0.0760000000000001,,176.1476,,314.6315,,335.6983,,206.5827,
"China","CN","2015-01-23",0.0430000000000001,,161.8507,,305.5066,,318.3039,,193.9444,
"China","CN","2015-01-30",0.0739999999999998,,180.3687,,314.3715,,316.8087,,211.5962,
"China","CN","2015-02-06",0.0500000000000003,,145.0758,,303.4576,,307.0182,,176.2726,
"China","CN","2015-02-13",0.0350000000000001,,128.3787,,299.3924,,291.1893,,165.9541,
"China","CN","2015-02-20",0.0750000000000002,,115.6612,,290.3503,,287.9019,,150.5296,
"China","CN","2015-03-06",0.0909999999999997,,118.6567,,303.6679,,303.3736,,148.164,
"China","CN","2015-03-13",0.0429999999999997,,136.7254,,322.583,,307.2973,,177.3934,
"China","CN","2015-03-20",0.0569999999999999,,151.0209,,325.803,,311.3203,,192.5816,
"China","CN","2015-03-27",0.0249999999999999,,158.0567,,333.6549,,316.8773,,200.1651,
"China","CN","2015-04-03",0.0649999999999999,,176.0038,,340.6221,,323.2701,,200.8237,
"China","CN","2015-04-10",0.114,,168.4161,,347.8049,,328.8223,,205.3613,
"China","CN","2015-04-17",0.0910000000000002,,166.9671,,345.894,,322.8677,,195.2917,
"China","CN","2015-04-24",0.0859999999999999,,146.8613,,322.3595,,308.8969,,173.1253,
"China","CN","2015-05-01",0.116,,121.676,,295.8802,,296.9073,,149.0151,
"China","CN","2015-05-08",0.04,,124.3758,,284.645,,297.2333,,151.7352,
"China","CN","2015-05-15",0.0550000000000002,,121.0909,,273.1033,,295.1103,,147.5175,
"China","CN","2015-05-22",0.0329999999999999,,119.9247,,280.6194,,299.1197,,148.2097,
"China","CN","2015-05-29",0.028,,144.7042,,308.297,,317.6242,,175.6756,
"China","CN","2015-06-05",0.0510000000000002,,114.3202,,270.8336,,306.1583,,147.3179,
"China","CN","2015-06-12",0.0459999999999998,,119.4408,,275.3557,,307.0014,,160.0023,
"China","CN","2015-06-19",0.036,,130.1288,,280.9047,,313.7757,,155.61,
"China","CN","2015-06-26",0.0529999999999999,,110.6822,,265.8982,,311.1266,,139.4681,
"China","CN","2015-07-03",0.0350000000000001,,117.758,,277.1062,,307.3668,,156.4805,
"China","CN","2015-07-10",0.0569999999999999,,105.023,,255.1599,,300.228,,136.8933,
"China","CN","2015-07-17",0.0659999999999998,,113.3054,,269.3344,,305.5747,,140.3419,
"China","CN","2015-07-24",0.0430000000000001,,117.2944,,274.6178,,302.6129,,150.2733,
"Colombia","CO","2005-07-29",-10.28,0.132000000000001,599.9981,307.0431,703.7,410.745,896.7,603.745,596.4999,303.545
"Colombia","CO","2005-08-05",-10.15,0.0869999999999997,575.9837,297.4608,677.2999,398.777,875.9999,597.477,573.2,294.677
"Colombia","CO","2005-08-12",-10.171,0.107,592.4868,304.0149,687.7999,399.328,872.1,583.628,583.2,294.728
"Colombia","CO","2005-08-19",-10.405,0.077,619.5699,298.883,720.1,399.413,898.5,577.813,613.2,292.513
